,a2_i,a2_j,a1_i,a1_j,b2_i,b2_j,b1_i,b1_j,y1,y2
197,4.0,6.0,1.0,3.0,6.0,4.0,2.0,3.0,2.0,2.0
198,5.0,6.0,1.0,2.0,5.0,4.0,1.0,3.0,2.0,2.0
199,5.0,5.0,1.0,1.0,5.0,3.0,1.0,4.0,2.0,2.0
200,5.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,2.0,2.0
201,5.0,4.0,1.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0
202,5.0,3.0,0.0,1.0,5.0,1.0,1.0,3.0,2.0,2.0
203,5.0,4.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0
204,4.0,4.0,1.0,0.0,4.0,1.0,1.0,3.0,2.0,2.0
205,3.0,4.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,2.0
206,2.0,4.0,1.0,1.0,5.0,2.0,3.0,3.0,0.0,2.0
207,2.0,3.0,1.0,0.0,5.0,1.0,3.0,4.0,0.0,2.0
208,2.0,2.0,0.0,0.0,5.0,0.0,3.0,4.0,3.0,2.0
209,2.0,1.0,0.0,0.0,5.0,1.0,3.0,3.0,3.0,2.0
210,2.0,1.0,1.0,0.0,5.0,1.0,3.0,4.0,3.0,2.0
211,1.0,1.0,1.0,1.0,6.0,1.0,2.0,4.0,3.0,2.0
212,1.0,0.0,1.0,0.0,6.0,2.0,2.0,4.0,0.0,2.0
213,1.0,1.0,0.0,0.0,6.0,2.0,1.0,4.0,3.0,2.0
214,1.0,0.0,0.0,0.0,6.0,2.0,1.0,3.0,0.0,2.0
215,0.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0,1.0,2.0
216,0.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,2.0
217,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,2.0,2.0
218,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0
219,1.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,0.0,2.0
220,0.0,0.0,0.0,0.0,6.0,1.0,3.0,1.0,1.0,2.0
221,0.0,0.0,0.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0
222,0.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0
223,0.0,1.0,0.0,0.0,5.0,1.0,1.0,2.0,3.0,2.0
224,0.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0
225,0.0,2.0,1.0,1.0,5.0,0.0,1.0,2.0,1.0,2.0
226,0.0,2.0,2.0,1.0,6.0,0.0,1.0,2.0,1.0,2.0
227,0.0,3.0,2.0,0.0,6.0,0.0,0.0,2.0,1.0,2.0
228,0.0,3.0,2.0,0.0,5.0,0.0,1.0,2.0,1.0,2.0
229,0.0,3.0,3.0,0.0,5.0,0.0,1.0,1.0,1.0,2.0
230,1.0,3.0,4.0,0.0,5.0,0.0,1.0,2.0,1.0,2.0
231,1.0,2.0,4.0,1.0,6.0,0.0,1.0,1.0,1.0,2.0
232,0.0,2.0,4.0,1.0,6.0,0.0,2.0,1.0,1.0,2.0
233,0.0,2.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,2.0
234,1.0,2.0,4.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0
235,1.0,3.0,3.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0
